Title,Type,Genre ID,Year,IMDB Score,Netflix Original
The Fifth Element,movie,"1,8,82",1997,7.6,FALSE
Kill Bill: Vol. 1,movie,"1,29,103",2003,8.2,FALSE
Jarhead,movie,"16,35,107",2005,7,FALSE
Unforgiven,movie,35.111,1992,8.2,FALSE
Eternal Sunshine of the Spotless Mind,movie,"35,73,82",2004,8.3,FALSE
Amores Perros,movie,35.103,2000,8,FALSE
A History of Violence,movie,"1,29,35",2005,7.4,FALSE
2001: A Space Odyssey,movie,8.82,1968,8.3,FALSE
Talk to Her,movie,"35,64,73",2002,7.9,FALSE
8 Mile,movie,"35,60",2002,7.2,FALSE
Paradise Now,movie,"29,35,103",2005,7.4,FALSE
Million Dollar Baby,movie,"35,90",2004,8.1,FALSE
American History X,movie,"29,35",1998,8.5,FALSE
Mars Attacks!,movie,"23,82",1996,6.4,FALSE
Before Sunrise,movie,"35,73",1995,8.1,FALSE
Memento,movie,64103,2000,8.4,FALSE
Hero,movie,"1,8,35",2002,7.9,FALSE
Before Sunset,movie,"35,73",2004,8.1,FALSE
NausicaÃ¤ of the Valley of the Wind,movie,"8,12,82",1984,8,FALSE
Raiders of the Lost Ark,movie,"1,8",1981,8.4,FALSE
Indiana Jones and the Temple of Doom,movie,"1,8",1984,7.5,FALSE
Dirty Dancing,movie,"35,60,73",1987,7.1,FALSE
Indiana Jones and the Last Crusade,movie,"1,8",1989,8.2,FALSE
Beverly Hills Cop,movie,"1,23,29",1984,7.4,FALSE
Beverly Hills Cop II,movie,"1,23,29",1987,6.6,FALSE
Gladiator,movie,"1,8,35",2000,8.5,FALSE
All About My Mother,movie,"23,35,73",1999,7.8,FALSE
LÃ©on: The Professional,movie,"1,29,35",1994,8.5,FALSE
Open Hearts,movie,"35,73",2002,7.5,FALSE
Taxi Driver,movie,"29,35",1976,8.2,FALSE
Run Lola Run,movie,"1,29,103",1998,7.6,FALSE
Snatch,movie,"23,29",2000,8.2,FALSE
Scarface,movie,"29,35",1983,8.3,FALSE
Italian for Beginners,movie,"23,35,73",2000,7,FALSE
Charlie and the Chocolate Factory,movie,"8,23,37",2005,6.7,FALSE
The Lord of the Rings: The Fellowship of the Ring,movie,"8,35,40",2001,8.9,FALSE
The Lord of the Rings: The Two Towers,movie,"8,35,40",2002,8.8,FALSE
The Lord of the Rings: The Return of the King,movie,"8,35,40",2003,9,FALSE
Princess Mononoke,movie,"8,12,40",1997,8.3,FALSE
Spirited Away,movie,"8,12,37",2001,8.6,FALSE
"O Brother, Where Art Thou?",movie,"23,29,35",2000,7.7,FALSE
Groundhog Day,movie,"23,35,40",1993,8,FALSE
Bad Education,movie,"29,35",2004,7.4,FALSE
Donnie Darko,movie,"35,64,82",2001,8,FALSE
Brokeback Mountain,movie,"35,73",2005,7.7,FALSE
Akira,movie,"12,35,40",1988,8,FALSE
Lost in Translation,movie,"23,35",2003,7.7,FALSE
The Dark Knight,movie,"1,29,35",2008,9,FALSE
Ocean's Eleven,movie,29103,2001,7.7,FALSE
Ocean's Twelve,movie,29103,2004,6.5,FALSE
Saw,movie,"50,64,103",2004,7.6,FALSE
Minority Report,movie,"1,29,64",2002,7.6,FALSE
Jackie Brown,movie,"29,35,103",1997,7.5,FALSE
Sin City: A Dame to Kill For,movie,"1,29,103",2014,6.5,FALSE
The Name of the Rose,movie,"35,64,103",1986,7.7,FALSE
AmÃ©lie,movie,"23,73",2001,8.3,FALSE
The Wages of Fear,movie,"8,35,103",1953,8.1,FALSE
Saw III,movie,"50,64,103",2006,6.2,FALSE
Saw II,movie,"50,64",2005,6.6,FALSE
Indiana Jones and the Kingdom of the Crystal Skull,movie,"1,8",2008,6.2,FALSE
Volver,movie,"23,35",2006,7.6,FALSE
Syriana,movie,35103,2005,6.9,FALSE
Stand by Me,movie,"8,23,35",1986,8.1,FALSE
The Godfather,movie,"29,35",1972,9.2,FALSE
The Godfather Part II,movie,"29,35",1974,9,FALSE
In China They Eat Dogs,movie,"1,23,29",1999,7.3,FALSE
Live Flesh,movie,35,1997,7.3,FALSE
Batman Begins,movie,"1,35",2005,8.2,FALSE
The Shawshank Redemption,movie,35,1994,9.3,FALSE
Terminator 2: Judgment Day,movie,"1,8,82",1991,8.6,FALSE
A River Runs Through It,movie,35,1992,7.2,FALSE
Terminator 3: Rise of the Machines,movie,"1,82",2003,6.3,FALSE
Ocean's Thirteen,movie,29103,2007,6.9,FALSE
Swimming Pool,movie,"29,35,64",2003,6.7,FALSE
Beverly Hills Cop III,movie,"1,23,29",1994,5.5,FALSE
Bruce Almighty,movie,"23,40",2003,6.8,FALSE
Mystic River,movie,"29,35,64",2003,7.9,FALSE
Jurassic Park,movie,"1,8,82",1993,8.2,FALSE
The Lost World: Jurassic Park,movie,"1,8,82",1997,6.6,FALSE
Jurassic Park III,movie,"1,8,82",2001,5.9,FALSE
Eyes Wide Shut,movie,"35,64,103",1999,7.5,FALSE
Das Boot,movie,35107,1981,8.4,FALSE
A Fistful of Dollars,movie,35111,1964,7.9,FALSE
Chocolat,movie,"35,73",2000,7.2,FALSE
Kill Bill: Vol. 2,movie,"1,29,103",2004,8,FALSE
Basic Instinct,movie,"35,64,103",1992,7.1,FALSE
Driving Miss Daisy,movie,"23,35",1989,7.3,FALSE
Summer in Berlin,movie,35,2005,6.9,FALSE
The Pianist,movie,"16,35,60",2002,8.5,FALSE
The Day After Tomorrow,movie,"1,8,82",2004,6.5,FALSE
Sissi,movie,"23,35,48",1955,7,FALSE
Sissi: The Young Empress,movie,"35,48",1956,6.6,FALSE
Sissi: The Fateful Years of an Empress,movie,"35,48,73",1957,6.6,FALSE
Erin Brockovich,movie,"16,35",2000,7.4,FALSE
As It Is in Heaven,movie,"23,35,60",2004,7.5,FALSE
My Own Private Idaho,movie,35,1991,7,FALSE
The African Queen,movie,"8,35,73",1951,7.7,FALSE
The Seventh Seal,movie,"35,40",1957,8.1,FALSE
The Green Mile,movie,"29,35,40",1999,8.6,FALSE
Reservoir Dogs,movie,29103,1992,8.3,FALSE
Poseidon,movie,"1,8,103",2006,5.7,FALSE
Monster,movie,"16,29,35",2003,7.3,FALSE
Marnie,movie,"29,35,64",1964,7.1,FALSE
Love Actually,movie,"23,35,73",2003,7.6,FALSE
Notting Hill,movie,"23,35,73",1999,7.2,FALSE
One Flew Over the Cuckoo's Nest,movie,35,1975,8.7,FALSE
Casino,movie,"29,35",1995,8.2,FALSE
Once Were Warriors,movie,"29,35",1994,7.9,FALSE
Wallace & Gromit: The Curse of the Were-Rabbit,movie,"8,12,23",2005,7.5,FALSE
Terminator Salvation,movie,"1,8,82",2009,6.5,FALSE
Flashdance,movie,"35,60,73",1983,6.2,FALSE
Psycho,movie,"50,64,103",1960,8.5,FALSE
Rashomon,movie,"29,35,64",1950,8.2,FALSE
Fight Club,movie,35,1999,8.8,FALSE
Spider-Man,movie,"1,8,82",2002,7.4,FALSE
Spider-Man 2,movie,"1,8,82",2004,7.5,FALSE
Spider-Man 3,movie,"1,8,82",2007,6.3,FALSE
Constantine,movie,"1,40,50",2005,7,FALSE
The Mummy,movie,"1,8,40",1999,7.1,FALSE
The Birds,movie,"35,50,64",1963,7.6,FALSE
Next Door,movie,64103,2005,6.4,FALSE
Jaws,movie,"8,35,50",1975,8.1,FALSE
