User_ID,Subscription_ID,Country_code,Age,Gender,Device_ID,Device_Type,Subscription_Type,Country
1,0,us,28,Male,1,Smartphone,Basic,United States
2,2,ca,35,Female,2,Tablet,Premium,Canada
3,1,gb,42,Male,4,Smart TV,Standard,United Kingdom
4,1,au,51,Female,3,Laptop,Standard,Australia
5,0,de,33,Male,1,Smartphone,Basic,Germany
6,2,fr,29,Female,4,Smart TV,Premium,France
7,1,br,46,Male,2,Tablet,Standard,Brazil
8,0,mx,39,Female,3,Laptop,Basic,Mexico
9,1,es,37,Male,1,Smartphone,Standard,Spain
10,2,it,44,Female,4,Smart TV,Premium,Italy
11,0,us,31,Female,1,Smartphone,Basic,United States
12,2,ca,45,Male,2,Tablet,Premium,Canada
13,1,gb,48,Female,3,Laptop,Standard,United Kingdom
14,0,au,27,Male,1,Smartphone,Basic,Australia
15,1,de,38,Female,4,Smart TV,Standard,Germany
16,2,fr,36,Male,2,Tablet,Premium,France
17,0,br,30,Female,3,Laptop,Basic,Brazil
18,1,mx,43,Male,1,Smartphone,Standard,Mexico
19,2,es,32,Female,4,Smart TV,Premium,Spain
20,0,it,41,Male,2,Tablet,Basic,Italy
21,2,us,26,Female,3,Laptop,Premium,United States
22,0,ca,34,Male,1,Smartphone,Basic,Canada
23,1,gb,49,Female,4,Smart TV,Standard,United Kingdom
24,1,au,31,Male,2,Tablet,Standard,Australia
25,0,de,40,Female,3,Laptop,Basic,Germany
26,2,fr,29,Male,1,Smartphone,Premium,France
27,0,br,47,Female,4,Smart TV,Basic,Brazil
28,1,mx,33,Male,2,Tablet,Standard,Mexico
29,2,es,36,Female,3,Laptop,Premium,Spain
30,0,it,42,Male,1,Smartphone,Basic,Italy
31,2,us,28,Female,4,Smart TV,Premium,United States
32,0,ca,37,Male,2,Tablet,Basic,Canada
33,1,gb,41,Female,3,Laptop,Standard,United Kingdom
34,1,au,29,Male,1,Smartphone,Standard,Australia
35,0,de,39,Female,4,Smart TV,Basic,Germany
36,2,fr,35,Male,2,Tablet,Premium,France
37,0,br,45,Female,3,Laptop,Basic,Brazil
38,1,mx,32,Male,1,Smartphone,Standard,Mexico
39,2,es,27,Female,4,Smart TV,Premium,Spain
40,0,it,48,Male,2,Tablet,Basic,Italy
41,2,us,31,Female,3,Laptop,Premium,United States
42,0,ca,40,Male,1,Smartphone,Basic,Canada
43,1,gb,36,Female,4,Smart TV,Standard,United Kingdom
44,1,au,29,Male,2,Tablet,Standard,Australia
45,0,de,43,Female,3,Laptop,Basic,Germany
46,2,fr,34,Male,1,Smartphone,Premium,France
47,0,br,39,Female,4,Smart TV,Basic,Brazil
48,1,mx,32,Male,2,Tablet,Standard,Mexico
49,2,es,28,Female,3,Laptop,Premium,Spain
50,0,it,45,Male,1,Smartphone,Basic,Italy
51,2,us,30,Female,4,Smart TV,Premium,United States
52,0,ca,37,Male,2,Tablet,Basic,Canada
53,1,gb,41,Female,3,Laptop,Standard,United Kingdom
54,1,au,29,Male,1,Smartphone,Standard,Australia
55,0,de,39,Female,4,Smart TV,Basic,Germany
56,2,fr,36,Male,2,Tablet,Premium,France
57,0,br,46,Female,3,Laptop,Basic,Brazil
58,1,mx,34,Male,1,Smartphone,Standard,Mexico
59,2,es,27,Female,4,Smart TV,Premium,Spain
60,0,it,42,Male,2,Tablet,Basic,Italy
61,2,us,28,Female,3,Laptop,Premium,United States
62,0,ca,37,Male,1,Smartphone,Basic,Canada
63,1,gb,41,Female,4,Smart TV,Standard,United Kingdom
64,1,au,29,Male,2,Tablet,Standard,Australia
65,0,de,40,Female,3,Laptop,Basic,Germany
66,2,fr,29,Male,1,Smartphone,Premium,France
67,0,br,47,Female,4,Smart TV,Basic,Brazil
68,1,mx,33,Male,2,Tablet,Standard,Mexico
69,2,es,36,Female,3,Laptop,Premium,Spain
70,0,it,41,Male,1,Smartphone,Basic,Italy
71,0,us,27,Male,1,Smartphone,Basic,United States
72,0,ca,31,Female,1,Smartphone,Basic,Canada
73,1,gb,28,Female,3,Laptop,Standard,United Kingdom
74,2,au,41,Female,1,Smartphone,Premium,Australia
75,0,de,28,Female,3,Laptop,Basic,Germany
76,0,fr,51,Female,3,Laptop,Basic,France
77,2,br,45,Female,1,Smartphone,Premium,Brazil
78,1,mx,49,Male,2,Tablet,Standard,Mexico
