Title,Type_ID,Genre_ID,Year,IMDB_Score,Netflix_Original,Main_Genre,Mapped_Genre_ID,Mapped_Type_ID
"""The Fifth Element""",movie,"Action, Adventure, Sci-Fi",1997,7.6,False,Action,1,0.0
"""Kill Bill: Vol. 1""",movie,"Action, Crime, Thriller",2003,8.2,False,Action,1,0.0
"""Jarhead""",movie,"Biography, Drama, War",2005,7.0,False,Biography,16,0.0
"""Unforgiven""",movie,"Drama, Western",1992,8.2,False,Drama,35,0.0
"""Eternal Sunshine of the Spotless Mind""",movie,"Drama, Romance, Sci-Fi",2004,8.3,False,Drama,35,0.0
"""Amores Perros""",movie,"Drama, Thriller",2000,8.0,False,Drama,35,0.0
"""A History of Violence""",movie,"Action, Crime, Drama",2005,7.4,False,Action,1,0.0
"""2001: A Space Odyssey""",movie,"Adventure, Sci-Fi",1968,8.3,False,Adventure,8,0.0
"""Talk to Her""",movie,"Drama, Mystery, Romance",2002,7.9,False,Drama,35,0.0
"""8 Mile""",movie,"Drama, Music",2002,7.2,False,Drama,35,0.0
"""Paradise Now""",movie,"Crime, Drama, Thriller",2005,7.4,False,Crime,29,0.0
"""Million Dollar Baby""",movie,"Drama, Sport",2004,8.1,False,Drama,35,0.0
"""American History X""",movie,"Crime, Drama",1998,8.5,False,Crime,29,0.0
"""Mars Attacks!""",movie,"Comedy, Sci-Fi",1996,6.4,False,Comedy,23,0.0
"""Before Sunrise""",movie,"Drama, Romance",1995,8.1,False,Drama,35,0.0
"""Memento""",movie,"Mystery, Thriller",2000,8.4,False,Mystery,64,0.0
"""Hero""",movie,"Action, Adventure, Drama",2002,7.9,False,Action,1,0.0
"""Before Sunset""",movie,"Drama, Romance",2004,8.1,False,Drama,35,0.0
"""Nausicaä of the Valley of the Wind""",movie,"Adventure, Animation, Sci-Fi",1984,8.0,False,Adventure,8,0.0
"""Raiders of the Lost Ark""",movie,"Action, Adventure",1981,8.4,False,Action,1,0.0
