Title,Type_ID,Genre_ID,Year,IMDB_Score,Netflix_Original
The Fifth Element,movie,"Action, Adventure, Sci-Fi",1997,7.6,FALSE
Kill Bill: Vol. 1,movie,"Action, Crime, Thriller",2003,8.2,FALSE
Jarhead,movie,"Biography, Drama, War",2005,7,FALSE
Unforgiven,movie,"Drama, Western",1992,8.2,FALSE
Eternal Sunshine of the Spotless Mind,movie,"Drama, Romance, Sci-Fi",2004,8.3,FALSE
Amores Perros,movie,"Drama, Thriller",2000,8,FALSE
A History of Violence,movie,"Action, Crime, Drama",2005,7.4,FALSE
2001: A Space Odyssey,movie,"Adventure, Sci-Fi",1968,8.3,FALSE
Talk to Her,movie,"Drama, Mystery, Romance",2002,7.9,FALSE
8 Mile,movie,"Drama, Music",2002,7.2,FALSE
Paradise Now,movie,"Crime, Drama, Thriller",2005,7.4,FALSE
Million Dollar Baby,movie,"Drama, Sport",2004,8.1,FALSE
American History X,movie,"Crime, Drama",1998,8.5,FALSE
Mars Attacks!,movie,"Comedy, Sci-Fi",1996,6.4,FALSE
Before Sunrise,movie,"Drama, Romance",1995,8.1,FALSE
Memento,movie,"Mystery, Thriller",2000,8.4,FALSE
Hero,movie,"Action, Adventure, Drama",2002,7.9,FALSE
Before Sunset,movie,"Drama, Romance",2004,8.1,FALSE
Nausicaä of the Valley of the Wind,movie,"Adventure, Animation, Sci-Fi",1984,8,FALSE
Raiders of the Lost Ark,movie,"Action, Adventure",1981,8.4,FALSE
Indiana Jones and the Temple of Doom,movie,"Action, Adventure",1984,7.5,FALSE
Dirty Dancing,movie,"Drama, Music, Romance",1987,7.1,FALSE
Indiana Jones and the Last Crusade,movie,"Action, Adventure",1989,8.2,FALSE
Beverly Hills Cop,movie,"Action, Comedy, Crime",1984,7.4,FALSE
Beverly Hills Cop II,movie,"Action, Comedy, Crime",1987,6.6,FALSE
Gladiator,movie,"Action, Adventure, Drama",2000,8.5,FALSE
All About My Mother,movie,"Comedy, Drama, Romance",1999,7.8,FALSE
Léon: The Professional,movie,"Action, Crime, Drama",1994,8.5,FALSE
Open Hearts,movie,"Drama, Romance",2002,7.5,FALSE
Taxi Driver,movie,"Crime, Drama",1976,8.2,FALSE
Run Lola Run,movie,"Action, Crime, Thriller",1998,7.6,FALSE
Snatch,movie,"Comedy, Crime",2000,8.2,FALSE
Scarface,movie,"Crime, Drama",1983,8.3,FALSE
Italian for Beginners,movie,"Comedy, Drama, Romance",2000,7,FALSE
Charlie and the Chocolate Factory,movie,"Adventure, Comedy, Family",2005,6.7,FALSE
The Lord of the Rings: The Fellowship of the Ring,movie,"Adventure, Drama, Fantasy",2001,8.9,FALSE
